"years","school","position","career","name","year"
"2004–2006","Illinois State","QB/OC","Coaching","Justin Fuente",2004
"2004–2006","Illinois State","QB/OC","Coaching","Justin Fuente",2005
"2004–2006","Illinois State","QB/OC","Coaching","Justin Fuente",2006
"2007–2008","TCU","RB","Coaching","Justin Fuente",2007
"2007–2008","TCU","RB","Coaching","Justin Fuente",2008
"2009–2011","TCU","Co-OC","Coaching","Justin Fuente",2009
"2009–2011","TCU","Co-OC","Coaching","Justin Fuente",2010
"2009–2011","TCU","Co-OC","Coaching","Justin Fuente",2011
"2012–","Memphis","HC","Coaching","Justin Fuente",2012
"1993–1994","St. Francis Prep","HC","Coaching","Kyle Flood",1993
"1993–1994","St. Francis Prep","HC","Coaching","Kyle Flood",1994
"1995–1996","LIU C.W. Post","OL","Coaching","Kyle Flood",1995
"1995–1996","LIU C.W. Post","OL","Coaching","Kyle Flood",1996
"1997–2001","Hofstra","OL","Coaching","Kyle Flood",1997
"1997–2001","Hofstra","OL","Coaching","Kyle Flood",1998
"1997–2001","Hofstra","OL","Coaching","Kyle Flood",1999
"1997–2001","Hofstra","OL","Coaching","Kyle Flood",2000
"1997–2001","Hofstra","OL","Coaching","Kyle Flood",2001
"2002–2004","Delaware","OL","Coaching","Kyle Flood",2002
"2002–2004","Delaware","OL","Coaching","Kyle Flood",2003
"2002–2004","Delaware","OL","Coaching","Kyle Flood",2004
"2005–2007","Rutgers","OL","Coaching","Kyle Flood",2005
"2005–2007","Rutgers","OL","Coaching","Kyle Flood",2006
"2005–2007","Rutgers","OL","Coaching","Kyle Flood",2007
"2008-2011","Rutgers (OL","OL","Coaching","Kyle Flood",2008
"2008-2011","Rutgers (OL","OL","Coaching","Kyle Flood",2009
"2008-2011","Rutgers (OL","OL","Coaching","Kyle Flood",2010
"2008-2011","Rutgers (OL","OL","Coaching","Kyle Flood",2011
"2012–","AHC)"," AHC","Coaching","Kyle Flood",2012
"1993–1994","Rutgers","HC","Coaching","Kyle Flood",1993
"1993–1994","Rutgers","HC","Coaching","Kyle Flood",1994
"1983","Hawaii","QB","Coaching","June Jones",1983
"1984","Houston Gamblers","WR","Coaching","June Jones",1984
"1985","Denver Gold","OC","Coaching","June Jones",1985
"1986","Ottawa Rough Riders","OC","Coaching","June Jones",1986
"1987–1988","Houston Oilers","QB","Coaching","June Jones",1987
"1987–1988","Houston Oilers","QB","Coaching","June Jones",1988
"1989–1990","Detroit Lions","QB/WR","Coaching","June Jones",1989
"1989–1990","Detroit Lions","QB/WR","Coaching","June Jones",1990
"1991–1993","Atlanta Falcons","OC","Coaching","June Jones",1991
"1991–1993","Atlanta Falcons","OC","Coaching","June Jones",1992
"1991–1993","Atlanta Falcons","OC","Coaching","June Jones",1993
"1994–1996","Atlanta Falcons","HC","Coaching","June Jones",1994
"1994–1996","Atlanta Falcons","HC","Coaching","June Jones",1995
"1994–1996","Atlanta Falcons","HC","Coaching","June Jones",1996
"1998","San Diego Chargers","QB/interim HC","Coaching","June Jones",1998
"1999–2007","Hawaii","HC","Coaching","June Jones",1999
"1999–2007","Hawaii","HC","Coaching","June Jones",2000
"1999–2007","Hawaii","HC","Coaching","June Jones",2001
"1999–2007","Hawaii","HC","Coaching","June Jones",2002
"1999–2007","Hawaii","HC","Coaching","June Jones",2003
"1999–2007","Hawaii","HC","Coaching","June Jones",2004
"1999–2007","Hawaii","HC","Coaching","June Jones",2005
"1999–2007","Hawaii","HC","Coaching","June Jones",2006
"1999–2007","Hawaii","HC","Coaching","June Jones",2007
"2008–2013","SMU","HC","Coaching","June Jones",2008
"2008–2013","SMU","HC","Coaching","June Jones",2009
"2008–2013","SMU","HC","Coaching","June Jones",2010
"2008–2013","SMU","HC","Coaching","June Jones",2011
"2008–2013","SMU","HC","Coaching","June Jones",2012
"2008–2013","SMU","HC","Coaching","June Jones",2013
"1999","WKU","WR","Coaching","Willie Taggart",1999
"2000","WKU","QB","Coaching","Willie Taggart",2000
"2001–2002","WKU","co-OC/QB","Coaching","Willie Taggart",2001
"2001–2002","WKU","co-OC/QB","Coaching","Willie Taggart",2002
"2003–2006","WKU","AHC/QB","Coaching","Willie Taggart",2003
"2003–2006","WKU","AHC/QB","Coaching","Willie Taggart",2004
"2003–2006","WKU","AHC/QB","Coaching","Willie Taggart",2005
"2003–2006","WKU","AHC/QB","Coaching","Willie Taggart",2006
"2007–2009","Stanford","RB","Coaching","Willie Taggart",2007
"2007–2009","Stanford","RB","Coaching","Willie Taggart",2008
"2007–2009","Stanford","RB","Coaching","Willie Taggart",2009
"2010–2012","WKUUSF","HC","Coaching","Willie Taggart",2010
"2010–2012","WKUUSF","HC","Coaching","Willie Taggart",2011
"2010–2012","WKUUSF","HC","Coaching","Willie Taggart",2012
"2013–2013","WKU","WR","Coaching","Willie Taggart",2013
"1998","Albright","LB","Coaching","Matt Rhule",1998
"1999–2000","Buffalo","GA","Coaching","Matt Rhule",1999
"1999–2000","Buffalo","GA","Coaching","Matt Rhule",2000
"2001","UCLA","GA","Coaching","Matt Rhule",2001
"2002","WCU","STC/LB","Coaching","Matt Rhule",2002
"2003–2004","WCU","AHC/STC/LB","Coaching","Matt Rhule",2003
"2003–2004","WCU","AHC/STC/LB","Coaching","Matt Rhule",2004
"2005","WCU","AHC/RGC/STC/OL","Coaching","Matt Rhule",2005
"2006","Temple","DL","Coaching","Matt Rhule",2006
"2007","Temple","QB/RC","Coaching","Matt Rhule",2007
"2008–2010","Temple","OC/QB","Coaching","Matt Rhule",2008
"2008–2010","Temple","OC/QB","Coaching","Matt Rhule",2009
"2008–2010","Temple","OC/QB","Coaching","Matt Rhule",2010
"2011","Temple","asst. OC/TE/RC","Coaching","Matt Rhule",2011
"2012","New York Giants","asst. OL","Coaching","Matt Rhule",2012
"2013–2013","Temple","HC","Coaching","Matt Rhule",2013
"1985–1987","Western Connecticut","OL","Coaching","Steve Addazio",1985
"1985–1987","Western Connecticut","OL","Coaching","Steve Addazio",1986
"1985–1987","Western Connecticut","OL","Coaching","Steve Addazio",1987
"1988–1994","Cheshire High School","HC","Coaching","Steve Addazio",1988
"1988–1994","Cheshire High School","HC","Coaching","Steve Addazio",1989
"1988–1994","Cheshire High School","HC","Coaching","Steve Addazio",1990
"1988–1994","Cheshire High School","HC","Coaching","Steve Addazio",1991
"1988–1994","Cheshire High School","HC","Coaching","Steve Addazio",1992
"1988–1994","Cheshire High School","HC","Coaching","Steve Addazio",1993
"1988–1994","Cheshire High School","HC","Coaching","Steve Addazio",1994
"1995–1998","Syracuse","OL/TE","Coaching","Steve Addazio",1995
"1995–1998","Syracuse","OL/TE","Coaching","Steve Addazio",1996
"1995–1998","Syracuse","OL/TE","Coaching","Steve Addazio",1997
"1995–1998","Syracuse","OL/TE","Coaching","Steve Addazio",1998
"1999–2001","Notre Dame","OL/TE/ST","Coaching","Steve Addazio",1999
"1999–2001","Notre Dame","OL/TE/ST","Coaching","Steve Addazio",2000
"1999–2001","Notre Dame","OL/TE/ST","Coaching","Steve Addazio",2001
"2002–2004","Indiana","OC/OL","Coaching","Steve Addazio",2002
"2002–2004","Indiana","OC/OL","Coaching","Steve Addazio",2003
"2002–2004","Indiana","OC/OL","Coaching","Steve Addazio",2004
"2005–2006","Florida","OL/TE","Coaching","Steve Addazio",2005
"2005–2006","Florida","OL/TE","Coaching","Steve Addazio",2006
"2007–2008","Florida","OL/AHC","Coaching","Steve Addazio",2007
"2007–2008","Florida","OL/AHC","Coaching","Steve Addazio",2008
"2009–2010","Florida","OC","Coaching","Steve Addazio",2009
"2009–2010","Florida","OC","Coaching","Steve Addazio",2010
"2011–2012","Temple","HC","Coaching","Steve Addazio",2011
"2011–2012","Temple","HC","Coaching","Steve Addazio",2012
"2013-2013","Boston College","HC","Coaching","Steve Addazio",2013
"1993–1995","Alabama","GA","Coaching","Dabo Swinney",1993
"1993–1995","Alabama","GA","Coaching","Dabo Swinney",1994
"1993–1995","Alabama","GA","Coaching","Dabo Swinney",1995
"1996–2001","Alabama","WR/TE","Coaching","Dabo Swinney",1996
"1996–2001","Alabama","WR/TE","Coaching","Dabo Swinney",1997
"1996–2001","Alabama","WR/TE","Coaching","Dabo Swinney",1998
"1996–2001","Alabama","WR/TE","Coaching","Dabo Swinney",1999
"1996–2001","Alabama","WR/TE","Coaching","Dabo Swinney",2000
"1996–2001","Alabama","WR/TE","Coaching","Dabo Swinney",2001
"2003–2008","Clemson","Asst HC/WR","Coaching","Dabo Swinney",2003
"2003–2008","Clemson","Asst HC/WR","Coaching","Dabo Swinney",2004
"2003–2008","Clemson","Asst HC/WR","Coaching","Dabo Swinney",2005
"2003–2008","Clemson","Asst HC/WR","Coaching","Dabo Swinney",2006
"2003–2008","Clemson","Asst HC/WR","Coaching","Dabo Swinney",2007
"2003–2008","Clemson","Asst HC/WR","Coaching","Dabo Swinney",2008
"2008–2013","Clemson","HC","Coaching","Dabo Swinney",2008
"2008–2013","Clemson","HC","Coaching","Dabo Swinney",2009
"2008–2013","Clemson","HC","Coaching","Dabo Swinney",2010
"2008–2013","Clemson","HC","Coaching","Dabo Swinney",2011
"2008–2013","Clemson","HC","Coaching","Dabo Swinney",2012
"2008–2013","Clemson","HC","Coaching","Dabo Swinney",2013
"1988-1990","Samford","GA","Coaching","Jimbo Fisher",1988
"1988-1990","Samford","GA","Coaching","Jimbo Fisher",1989
"1988-1990","Samford","GA","Coaching","Jimbo Fisher",1990
"1991–1992","Samford","OC","Coaching","Jimbo Fisher",1991
"1991–1992","Samford","OC","Coaching","Jimbo Fisher",1992
"1993–1998","Auburn","QB","Coaching","Jimbo Fisher",1993
"1993–1998","Auburn","QB","Coaching","Jimbo Fisher",1994
"1993–1998","Auburn","QB","Coaching","Jimbo Fisher",1995
"1993–1998","Auburn","QB","Coaching","Jimbo Fisher",1996
"1993–1998","Auburn","QB","Coaching","Jimbo Fisher",1997
"1993–1998","Auburn","QB","Coaching","Jimbo Fisher",1998
"1999","Cincinnati","QB","Coaching","Jimbo Fisher",1999
"2000–2006","LSU","OC/QB","Coaching","Jimbo Fisher",2000
"2000–2006","LSU","OC/QB","Coaching","Jimbo Fisher",2001
"2000–2006","LSU","OC/QB","Coaching","Jimbo Fisher",2002
"2000–2006","LSU","OC/QB","Coaching","Jimbo Fisher",2003
"2000–2006","LSU","OC/QB","Coaching","Jimbo Fisher",2004
"2000–2006","LSU","OC/QB","Coaching","Jimbo Fisher",2005
"2000–2006","LSU","OC/QB","Coaching","Jimbo Fisher",2006
"2007–2009","Florida State","OC/QB","Coaching","Jimbo Fisher",2007
"2007–2009","Florida State","OC/QB","Coaching","Jimbo Fisher",2008
"2007–2009","Florida State","OC/QB","Coaching","Jimbo Fisher",2009
"2010–2013","Florida State","HC","Coaching","Jimbo Fisher",2010
"2010–2013","Florida State","HC","Coaching","Jimbo Fisher",2011
"2010–2013","Florida State","HC","Coaching","Jimbo Fisher",2012
"2010–2013","Florida State","HC","Coaching","Jimbo Fisher",2013
"1980–1982","Syracuse","GA","Coaching","Randy Edsall",1980
"1980–1982","Syracuse","GA","Coaching","Randy Edsall",1981
"1980–1982","Syracuse","GA","Coaching","Randy Edsall",1982
"1983–1984","Syracuse","RB","Coaching","Randy Edsall",1983
"1983–1984","Syracuse","RB","Coaching","Randy Edsall",1984
"1985","Syracuse","TE","Coaching","Randy Edsall",1985
"1986","Syracuse","RB","Coaching","Randy Edsall",1986
"1987–1990","Syracuse","DB","Coaching","Randy Edsall",1987
"1987–1990","Syracuse","DB","Coaching","Randy Edsall",1988
"1987–1990","Syracuse","DB","Coaching","Randy Edsall",1989
"1987–1990","Syracuse","DB","Coaching","Randy Edsall",1990
"1991–1993","Boston College","DB","Coaching","Randy Edsall",1991
"1991–1993","Boston College","DB","Coaching","Randy Edsall",1992
"1991–1993","Boston College","DB","Coaching","Randy Edsall",1993
"1994–1997","Jacksonville Jaguars","DB","Coaching","Randy Edsall",1994
"1994–1997","Jacksonville Jaguars","DB","Coaching","Randy Edsall",1995
"1994–1997","Jacksonville Jaguars","DB","Coaching","Randy Edsall",1996
"1994–1997","Jacksonville Jaguars","DB","Coaching","Randy Edsall",1997
"1998","Georgia Tech","DC","Coaching","Randy Edsall",1998
"1999–2010","Connecticut","HC","Coaching","Randy Edsall",1999
"1999–2010","Connecticut","HC","Coaching","Randy Edsall",2000
"1999–2010","Connecticut","HC","Coaching","Randy Edsall",2001
"1999–2010","Connecticut","HC","Coaching","Randy Edsall",2002
"1999–2010","Connecticut","HC","Coaching","Randy Edsall",2003
"1999–2010","Connecticut","HC","Coaching","Randy Edsall",2004
"1999–2010","Connecticut","HC","Coaching","Randy Edsall",2005
"1999–2010","Connecticut","HC","Coaching","Randy Edsall",2006
"1999–2010","Connecticut","HC","Coaching","Randy Edsall",2007
"1999–2010","Connecticut","HC","Coaching","Randy Edsall",2008
"1999–2010","Connecticut","HC","Coaching","Randy Edsall",2009
"1999–2010","Connecticut","HC","Coaching","Randy Edsall",2010
"2011–2013","Maryland","HC","Coaching","Randy Edsall",2011
"2011–2013","Maryland","HC","Coaching","Randy Edsall",2012
"2011–2013","Maryland","HC","Coaching","Randy Edsall",2013
"1986","Austin","GA","Coaching","Larry Fedora",1986
"1987–1990","Garland HS","TX","Coaching","Larry Fedora",1987
"1987–1990","Garland HS","TX","Coaching","Larry Fedora",1988
"1987–1990","Garland HS","TX","Coaching","Larry Fedora",1989
"1987–1990","Garland HS","TX","Coaching","Larry Fedora",1990
"1991–1996","Baylor","WR/TE/RB","Coaching","Larry Fedora",1991
"1991–1996","Baylor","WR/TE/RB","Coaching","Larry Fedora",1992
"1991–1996","Baylor","WR/TE/RB","Coaching","Larry Fedora",1993
"1991–1996","Baylor","WR/TE/RB","Coaching","Larry Fedora",1994
"1991–1996","Baylor","WR/TE/RB","Coaching","Larry Fedora",1995
"1991–1996","Baylor","WR/TE/RB","Coaching","Larry Fedora",1996
"1997–1998","Air Force","QB/WR","Coaching","Larry Fedora",1997
"1997–1998","Air Force","QB/WR","Coaching","Larry Fedora",1998
"1999–2001","Middle Tennessee","OC","Coaching","Larry Fedora",1999
"1999–2001","Middle Tennessee","OC","Coaching","Larry Fedora",2000
"1999–2001","Middle Tennessee","OC","Coaching","Larry Fedora",2001
"2002–2004","Florida","OC","Coaching","Larry Fedora",2002
"2002–2004","Florida","OC","Coaching","Larry Fedora",2003
"2002–2004","Florida","OC","Coaching","Larry Fedora",2004
"2005–2007","Oklahoma State","OC","Coaching","Larry Fedora",2005
"2005–2007","Oklahoma State","OC","Coaching","Larry Fedora",2006
"2005–2007","Oklahoma State","OC","Coaching","Larry Fedora",2007
"2008–2011","Southern Mississippi","HC","Coaching","Larry Fedora",2008
"2008–2011","Southern Mississippi","HC","Coaching","Larry Fedora",2009
"2008–2011","Southern Mississippi","HC","Coaching","Larry Fedora",2010
"2008–2011","Southern Mississippi","HC","Coaching","Larry Fedora",2011
"2012–2013","North Carolina","HC","Coaching","Larry Fedora",2012
"2012–2013","North Carolina","HC","Coaching","Larry Fedora",2013
"1995–1996","Drake","LB","Coaching","Dave Doeren",1995
"1995–1996","Drake","LB","Coaching","Dave Doeren",1996
"1997","Drake","DC/DB","Coaching","Dave Doeren",1997
"1998–1999","USC","GA","Coaching","Dave Doeren",1998
"1998–1999","USC","GA","Coaching","Dave Doeren",1999
"2000–2001","Montana","DB","Coaching","Dave Doeren",2000
"2000–2001","Montana","DB","Coaching","Dave Doeren",2001
"2002–2004","Kansas","LB/RC","Coaching","Dave Doeren",2002
"2002–2004","Kansas","LB/RC","Coaching","Dave Doeren",2003
"2002–2004","Kansas","LB/RC","Coaching","Dave Doeren",2004
"2005","Kansas","co-DC/LB/RC","Coaching","Dave Doeren",2005
"2006–2007","Wisconsin","co-DC/LB/RC","Coaching","Dave Doeren",2006
"2006–2007","Wisconsin","co-DC/LB/RC","Coaching","Dave Doeren",2007
"2008–2010","Wisconsin","DC/LB","Coaching","Dave Doeren",2008
"2008–2010","Wisconsin","DC/LB","Coaching","Dave Doeren",2009
"2008–2010","Wisconsin","DC/LB","Coaching","Dave Doeren",2010
"2011–2012","Northern Illinois","HC","Coaching","Dave Doeren",2011
"2011–2012","Northern Illinois","HC","Coaching","Dave Doeren",2012
"2013–2013","NC State","HC","Coaching","Dave Doeren",2013
"1989–1990","West Virginia","GA","Coaching","Paul Chryst",1989
"1989–1990","West Virginia","GA","Coaching","Paul Chryst",1990
"1991–1992","San Antonio Riders","assistant","Coaching","Paul Chryst",1991
"1991–1992","San Antonio Riders","assistant","Coaching","Paul Chryst",1992
"1993","UW–Platteville","OC","Coaching","Paul Chryst",1993
"1994","Ottawa Rough Riders","assistant","Coaching","Paul Chryst",1994
"1995","Illinois State","OC","Coaching","Paul Chryst",1995
"1996","Saskatchewan Roughriders","OC","Coaching","Paul Chryst",1996
"1997–1998","Oregon State","OC","Coaching","Paul Chryst",1997
"1997–1998","Oregon State","OC","Coaching","Paul Chryst",1998
"1999–2001","San Diego Chargers","TE","Coaching","Paul Chryst",1999
"1999–2001","San Diego Chargers","TE","Coaching","Paul Chryst",2000
"1999–2001","San Diego Chargers","TE","Coaching","Paul Chryst",2001
"2002","Wisconsin","TE","Coaching","Paul Chryst",2002
"2003–2004","Oregon State","OC","Coaching","Paul Chryst",2003
"2003–2004","Oregon State","OC","Coaching","Paul Chryst",2004
"2005–2011","Wisconsin","OC","Coaching","Paul Chryst",2005
"2005–2011","Wisconsin","OC","Coaching","Paul Chryst",2006
"2005–2011","Wisconsin","OC","Coaching","Paul Chryst",2007
"2005–2011","Wisconsin","OC","Coaching","Paul Chryst",2008
"2005–2011","Wisconsin","OC","Coaching","Paul Chryst",2009
"2005–2011","Wisconsin","OC","Coaching","Paul Chryst",2010
"2005–2011","Wisconsin","OC","Coaching","Paul Chryst",2011
"2012–2013","Pittsburgh","HC","Coaching","Paul Chryst",2012
"2012–2013","Pittsburgh","HC","Coaching","Paul Chryst",2013
"1991–1992","Indiana","GA","Coaching","Scott Shafer",1991
"1991–1992","Indiana","GA","Coaching","Scott Shafer",1992
"1993–1995","Rhode Island","DB","Coaching","Scott Shafer",1993
"1993–1995","Rhode Island","DB","Coaching","Scott Shafer",1994
"1993–1995","Rhode Island","DB","Coaching","Scott Shafer",1995
"1996–1999","Northern Illinois","DB","Coaching","Scott Shafer",1996
"1996–1999","Northern Illinois","DB","Coaching","Scott Shafer",1997
"1996–1999","Northern Illinois","DB","Coaching","Scott Shafer",1998
"1996–1999","Northern Illinois","DB","Coaching","Scott Shafer",1999
"2000–2003","Northern Illinois","DC","Coaching","Scott Shafer",2000
"2000–2003","Northern Illinois","DC","Coaching","Scott Shafer",2001
"2000–2003","Northern Illinois","DC","Coaching","Scott Shafer",2002
"2000–2003","Northern Illinois","DC","Coaching","Scott Shafer",2003
"2004","Illinois","DB","Coaching","Scott Shafer",2004
"2005–2006","Western Michigan","DC","Coaching","Scott Shafer",2005
"2005–2006","Western Michigan","DC","Coaching","Scott Shafer",2006
"2007","Stanford","DC/AHC","Coaching","Scott Shafer",2007
"2008","Michigan","DC","Coaching","Scott Shafer",2008
"2009–2012","Syracuse","DC","Coaching","Scott Shafer",2009
"2009–2012","Syracuse","DC","Coaching","Scott Shafer",2010
"2009–2012","Syracuse","DC","Coaching","Scott Shafer",2011
"2009–2012","Syracuse","DC","Coaching","Scott Shafer",2012
"2013–2013","Syracuse","HC","Coaching","Scott Shafer",2013
"1988–1989","Richmond","OLBs","Coaching","Mike London",1988
"1988–1989","Richmond","OLBs","Coaching","Mike London",1989
"1990–1993","William & Mary","DL","Coaching","Mike London",1990
"1990–1993","William & Mary","DL","Coaching","Mike London",1991
"1990–1993","William & Mary","DL","Coaching","Mike London",1992
"1990–1993","William & Mary","DL","Coaching","Mike London",1993
"1994–1996","Richmond","OLBs","Coaching","Mike London",1994
"1994–1996","Richmond","OLBs","Coaching","Mike London",1995
