"RivalsRank" "School" "Total" "5-Star" "4-Star" "3-Star" "AvgStar" "Points" "Year"
"101" "New Mexico State" 21 0 0 5 2.14 85 2009
"101" "North Carolina State" 18 1 3 7 2.89 842 2004
"101" "UAB" 25 0 0 2 2.08 70 2008
"101" "Utah State" 21 0 0 2 2.1 70 2008
"102" "Idaho" 22 0 0 5 2.23 85 2011
"102" "Marshall" 18 0 0 4 2.22 650 2003
"102" "Miami (OH)" 12 0 0 0 2 300 2002
"102" "Missouri" 26 0 5 5 2.58 841 2004
"102" "Navy" 40 0 0 5 2.13 85 2011
"102" "North Texas" 21 0 0 5 2.24 85 2011
"102" "Ohio" 22 0 0 1 2.05 705 2013
"102" "Tulane" 19 0 0 1 2.05 62 2005
"102" "Tulane" 22 0 0 5 2.23 85 2011
"102" "Western Michigan" 17 0 0 2 2.12 705 2013
"102" "Western Michigan" 22 0 0 5 2.23 85 2011
"103" "Ball State" 21 0 0 0 2 60 2005
"103" "Bowling Green" 26 0 0 0 2 60 2005
"103" "Buffalo" 27 0 0 0 2 60 2005
"103" "Central Michigan" 27 0 0 0 2 60 2006
"103" "Connecticut" 14 0 0 1 1.57 275 2002
"103" "East Carolina" 23 0 0 0 2 60 2005
"103" "Eastern Michigan" 22 0 0 0 2 60 2006
"103" "Eastern Michigan" 23 0 0 0 2 60 2005
"103" "FIU" 24 0 0 0 2 60 2006
"103" "Florida Atlantic" 20 0 0 0 2 60 2006
"103" "Idaho" 24 0 0 0 2 60 2005
"103" "Louisiana-Lafayette" 11 0 0 0 2 275 2002
"103" "Louisiana-Monroe" 33 0 0 0 2 60 2005
"103" "Mississippi" 24 0 3 11 2.71 838 2004
"103" "New Mexico State" 23 0 0 0 2 60 2005
"103" "Northern Illinois" 20 0 0 1 2.05 645 2003
"103" "Ohio" 28 0 0 0 2 60 2005
"103" "San Diego State" 20 0 0 4 2.1 77 2009
"103" "Utah State" 22 0 0 0 2 60 2005
"103" "Western Michigan" 23 0 0 0 2 60 2006
"104" "Arizona State" 22 0 1 12 2.64 837 2004
"104" "Ball State" 24 0 0 3 2.13 75 2009
"104" "Central Michigan" 19 0 0 2 2.11 635 2003
"104" "Eastern Michigan" 21 0 0 0 2 635 2003
"104" "Eastern Michigan" 22 0 0 3 2.14 75 2009
"104" "Kent State" 21 0 0 2 2.1 690 2013
"104" "Middle Tennessee" 24 0 0 3 2.13 75 2009
"104" "North Texas" 20 0 0 3 2.15 75 2009
"104" "San Jose State" 19 0 0 3 2.05 69 2007
"104" "Utah State" 24 0 0 3 2.13 690 2013
"104" "Western Kentucky" 26 0 0 3 2.12 75 2009
"104" "Western Michigan" 21 0 0 0 2 635 2003
"104" "Wyoming" 21 0 0 2 2.1 690 2013
"105" "Colorado State" 25 0 0 1 1.96 65 2007
"105" "Houston" 25 0 0 2 2.08 830 2004
"105" "Idaho" 21 0 0 1 2.05 65 2007
"105" "Idaho" 29 0 0 0 1.93 830 2004
"105" "Rice" 9 0 0 0 2 225 2002
"105" "Rice" 16 0 0 8 2.5 88 2010
"105" "UAB" 25 0 0 1 2.04 65 2007
"106" "Ball State" 8 0 0 0 2 200 2002
"106" "Bowling Green" 19 0 0 5 2.26 82 2012
"106" "Bowling Green" 25 0 0 5 2.2 85 2010
"106" "Miami (OH)" 23 0 0 5 2.22 85 2010
"107" "Air Force" 30 0 0 4 2.13 80 2012
"107" "Akron" 23 0 0 4 2.17 80 2011
"107" "Arkansas State" 19 0 0 1 2.05 660 2013
"107" "Arkansas State" 26 0 0 1 2.04 65 2008
"107" "Army" 20 0 0 0 2 610 2003
"107" "Army" 34 0 0 1 2.04 660 2013
"107" "Central Michigan" 22 0 0 1 2.05 65 2008
"107" "Central Michigan" 26 0 0 4 2.15 80 2011
"107" "Louisiana Tech" 5 0 1 0 2.4 190 2002
"107" "Nevada" 24 0 0 4 2.17 80 2011
"107" "New Mexico State" 20 0 0 4 2.2 80 2011
"107" "Notre Dame" 18 0 3 9 2.83 820 2004
"107" "Temple" 21 0 0 4 2.19 80 2011
"107" "Western Michigan" 27 0 0 4 2.15 80 2012
"107" "Wyoming" 21 0 0 4 2.19 80 2012
"108" "Air Force" 6 0 0 0 2 150 2002
"108" "Air Force" 30 0 0 0 1.73 60 2007
"108" "Air Force" 35 0 0 4 2.06 80 2010
"108" "Army" 6 0 0 0 2 150 2002
"108" "Ball State" 21 0 0 4 2.19 80 2010
"108" "Brigham Young" 13 1 1 4 2.69 609 2003
"108" "Cincinnati" 19 0 0 1 1.95 59 2006
"108" "Louisiana-Monroe" 26 0 0 0 2 60 2007
"108" "Louisville" 24 0 1 1 2.04 818 2004
"108" "Middle Tennessee" 24 0 0 0 2 60 2007
"108" "Tulane" 26 0 0 0 1.92 60 2007
"108" "Utah State" 23 0 0 0 2 60 2007
"108" "Utah State" 27 0 0 4 2.15 80 2010
"109" "Army" 45 0 0 0 1.96 60 2008
"109" "Bowling Green" 23 0 0 2 2 70 2009
"109" "Buffalo" 20 0 0 0 2 60 2008
"109" "Buffalo" 23 0 0 2 2.09 70 2009
"109" "Duke" 14 0 0 8 2.57 585 2003
"109" "Idaho" 20 0 0 2 2.1 70 2009
"109" "Louisiana-Lafayette" 23 0 0 0 2 60 2008
"109" "Northern Illinois" 24 0 0 2 2.08 645 2013
"109" "Southern Methodist" 16 0 0 2 2.13 58 2006
"109" "Texas Tech" 26 1 4 7 2.69 807 2004
"109" "UNLV" 23 0 0 0 2 60 2008
"11" "Alabama" 23 2 10 11 3.61 2127 2006
"11" "Auburn" 26 1 6 17 3.23 1770 2003
"11" "California" 19 2 7 10 3.58 1875 2010
"11" "Florida" 16 3 9 4 3.94 2017 2009
"11" "Iowa" 23 1 7 11 3.22 1745 2005
"11" "LSU" 26 2 11 13 3.58 2134 2008
"11" "Ohio State" 23 1 9 12 3.43 1927 2011
"11" "Oklahoma" 18 3 8 6 3.72 2055 2004
"11" "Oklahoma" 25 1 11 13 3.52 1937 2012
"11" "Oregon" 29 0 12 12 3.24 1760 2007
"11" "South Carolina" 26 3 6 16 3.42 1972 2002
"11" "Texas A&M" 31 0 15 15 3.45 2332 2013
"110" "Ball State" 19 0 0 0 2 575 2003
"110" "FIU" 18 0 0 2 2.11 630 2013
"110" "Hawaii" 19 0 0 0 2 57 2006
"110" "Louisiana-Lafayette" 27 0 0 0 2 805 2004
"110" "Louisiana-Monroe" 22 0 0 0 1.73 57 2006
"110" "Miami (OH)" 22 0 0 3 2.14 630 2013
"110" "New Mexico" 26 0 0 1 2.04 805 2004
"110" "New Mexico State" 4 0 0 0 2 100 2002
"110" "North Texas" 3 0 0 1 2.33 100 2002
"110" "San Jose State" 27 0 0 0 2 805 2004
"110" "Toledo" 4 0 0 0 2 100 2002
"110" "UNLV" 17 0 0 5 2.29 76 2012
"111" "Louisiana-Monroe" 22 0 0 3 2.14 75 2012
"111" "Miami (OH)" 16 0 0 1 2.06 500 2003
"111" "Middle Tennessee" 21 0 0 3 2.14 75 2012
"111" "Navy" 22 0 0 4 1.91 77 2010
"111" "UAB" 25 0 0 3 2.12 75 2012
"111" "Wyoming" 17 0 0 0 2 500 2003
"112" "Army" 55 0 0 1 1.11 65 2009
"112" "Central Michigan" 20 0 0 3 2.15 75 2010
"112" "Louisiana-Monroe" 21 0 0 3 2.14 75 2011
"112" "Louisiana-Monroe" 23 0 0 3 2.13 75 2010
"112" "Louisiana-Monroe" 28 0 0 1 1.96 65 2009
"112" "Massachusetts" 22 0 0 1 2.05 615 2013
"112" "Northern Illinois" 17 0 0 1 2.06 56 2006
"112" "South Alabama" 22 0 0 3 2.14 615 2013
"112" "Temple" 28 0 0 1 2.04 65 2009
"112" "Troy" 22 0 0 3 2.14 75 2011
"112" "Tulane" 24 0 0 3 2.13 75 2010
"112" "Utah State" 22 0 0 1 2.05 65 2009
"113" "Louisiana-Lafayette" 18 0 0 1 2.06 59 2007
"113" "North Texas" 18 0 0 0 2 54 2006
"113" "North Texas" 18 0 0 1 2.06 59 2007
"113" "Rice" 18 0 0 1 2.06 59 2008
"113" "San Jose State" 12 0 0 1 2.08 41 2005
"113" "UCLA" 26 0 1 14 2.62 802 2004
"113" "UTEP" 4 0 0 0 1.5 75 2002
"113" "UTEP" 15 0 0 0 2 450 2003
"114" "Ball State" 20 0 0 2 2.1 70 2011
"114" "Eastern Michigan" 21 0 1 2 2.19 600 2013
"114" "Florida Atlantic" 24 0 0 2 2.08 70 2011
"114" "Idaho" 17 0 0 3 2.18 66 2012
"114" "Kent State" 17 0 0 0 1.88 48 2006
"114" "Miami (OH)" 13 0 0 0 2 39 2005
"114" "Ohio" 14 0 0 0 2 350 2003
"114" "South Carolina" 28 0 3 11 2.61 799 2004
"114" "Troy" 2 0 0 0 2 60 2002
"114" "Tulane" 19 0 0 0 2 57 2008
"114" "UNLV" 20 0 0 2 2.11 600 2013
"114" "UTEP" 21 0 0 2 2.1 70 2011
"115" "Air Force" 16 0 0 0 1.5 36 2005
"115" "Army" 23 0 0 0 1.65 57 2007
"115" "Ball State" 24 0 0 1 2.04 65 2012
"115" "Buffalo" 20 0 0 0 1.9 57 2007
"115" "Buffalo" 20 0 0 3 2.05 72 2010
"115" "Massachusetts" 23 0 0 1 2.04 65 2012
"115" "New Mexico State" 11 0 0 2 2.18 335 2003
"115" "New Mexico State" 17 0 0 0 1.76 45 2006
"115" "Northern Illinois" 19 0 0 0 2 57 2007
"115" "Ohio" 2 0 0 0 2 50 2002
"115" "San Jose State" 16 0 0 1 2.06 53 2008
"115" "Troy" 26 0 0 1 1.96 790 2004
"115" "Utah State" 15 0 0 4 2.27 65 2012
"116" "Air Force" 17 0 0 0 1.65 42 2006
"116" "Bowling Green" 17 0 0 0 2 51 2008
"116" "Duke" 24 0 0 2 2.08 785 2004
"116" "Eastern Michigan" 24 0 0 2 2.08 70 2010
"116" "Kent State" 1 0 0 0 2 25 2002
"116" "Middle Tennessee" 14 0 0 0 2 42 2006
"116" "Navy" 9 0 0 0 2 27 2005
"116" "Navy" 12 0 0 0 2 300 2003
"116" "Nevada" 16 0 0 3 2.19 63 2009
"116" "New Mexico State" 17 0 0 0 2 51 2008
"116" "New Mexico State" 18 0 0 2 2.11 570 2013
"117" "Air Force" 9 0 0 0 2 225 2003
"117" "Akron" 17 0 0 2 2.12 540 2013
"117" "Army" 4 0 0 0 2 12 2005
"117" "Army" 48 0 0 1 1.19 65 2010
"117" "Ball State" 26 0 0 0 2 780 2004
"117" "Buffalo" 19 0 0 2 2.11 67 2011
"117" "Louisiana-Lafayette" 23 0 0 1 2.04 65 2010
"117" "North Texas" 18 0 0 0 2 540 2013
"117" "Southern Miss" 22 0 0 5 2.14 780 2004
"117" "Syracuse" 14 0 0 4 2.29 62 2009
"118" "Air Force" 21 0 0 0 1.9 60 2009
"118" "Akron" 21 0 0 0 2 60 2012
"118" "Army" 46 0 0 1 1.98 65 2011
"118" "Florida Atlantic" 17 0 0 1 2.06 56 2007
"118" "Massachusetts" 2 0 0 1 2.5 11 2005
"118" "Navy" 11 0 0 1 1.18 39 2006
"118" "Navy" 19 0 0 0 1.68 48 2008
"119" "Army" 19 0 0 0 1.05 30 2006
"119" "Buffalo" 18 0 0 1 2.06 59 2012
"119" "Eastern Michigan" 19 0 0 1 2.05 62 2011
"119" "Louisiana-Lafayette" 18 0 0 1 2.06 59 2009
"119" "Louisiana-Monroe" 15 0 0 0 2 525 2013
"119" "Marshall" 23 0 0 2 2.09 770 2004
"119" "Navy" 12 0 0 0 1.33 24 2007
"119" "Northern Illinois" 13 0 0 0 2 39 2008
"119" "Ohio" 17 0 0 1 2.06 56 2010
"12" "Clemson" 26 1 13 8 3.42 2113 2008
"12" "Florida" 19 0 11 8 3.58 1851 2011
"12" "Georgia" 19 2 6 10 3.47 1775 2012
"12" "Georgia" 33 0 16 17 3.48 2226 2013
"12" "Michigan" 20 2 5 12 3.4 1750 2007
"12" "Notre Dame" 22 2 6 13 3.41 1756 2003
"12" "Ohio State" 18 1 9 6 3.5 1654 2005
"12" "Ohio State" 20 2 8 10 3.6 2000 2006
"12" "Penn State" 20 0 12 7 3.55 1852 2010
"12" "South Carolina" 29 0 14 11 3.34 1952 2009
"12" "USC" 19 8 6 3 4.05 1974 2004
"12" "Virginia" 26 3 7 13 3.38 1967 2002
"120" "Colorado State" 12 0 0 3 2.25 51 2012
"120" "Florida Atlantic" 11 0 0 1 2.09 38 2010
"120" "Massachusetts" 2 0 0 0 1 3 2006
"120" "Massachusetts" 9 0 0 1 0.33 8 2007
"120" "Massachusetts" 10 0 0 2 1 22 2008
"120" "Miami (OH)" 17 0 0 2 2.12 61 2011
"120" "Navy" 28 0 0 0 1.21 51 2009
"120" "UNLV" 23 0 0 2 2.09 760 2004
"120" "UTEP" 17 0 0 1 2.06 510 2013
"121" "Fresno State" 9 0 0 4 2.44 47 2012
"121" "Idaho" 22 0 0 1 2.05 450 2013
"121" "Massachusetts" 2 0 0 1 1.5 8 2010
"121" "Massachusetts" 7 0 0 1 1.57 20 2009
"121" "Massachusetts" 9 0 0 1 1.44 23 2011
"121" "North Carolina" 24 0 3 8 2.58 749 2004
"122" "Army" 3 0 0 1 2.33 14 2012
"122" "Buffalo" 18 0 0 1 2.06 405 2013
"122" "San Jose State" 18 0 0 0 2 405 2013
"122" "UAB" 22 0 0 3 2.14 745 2004
"123" "Oklahoma State" 19 0 3 7 2.68 713 2004
"124" "Miami (OH)" 24 0 0 0 1.96 710 2004
"124" "Toledo" 24 0 0 0 1.96 710 2004
"126" "Northern Illinois" 22 0 0 1 2.05 705 2004
"127" "Iowa" 20 1 1 7 2.6 701 2004
"128" "UCF" 22 0 0 1 2.05 695 2004
"128" "Western Michigan" 22 0 0 1 2.05 695 2004
"13" "Auburn" 21 1 7 10 3.19 1596 2005
"13" "Florida" 23 1 11 10 3.52 1945 2004
"13" "Michigan" 19 2 9 7 3.63 1974 2006
"13" "Nebraska" 27 0 10 16 3.33 1734 2007
"13" "North Carolina" 26 0 7 16 3.15 1748 2003
"13" "Oklahoma" 23 0 11 11 3.43 1830 2009
"13" "Oregon" 23 1 10 9 3.39 1851 2010
"13" "Tennessee" 27 0 12 14 3.41 1811 2011
"13" "UCLA" 23 0 12 11 3.52 1924 2008
"13" "UCLA" 26 1 8 14 3.27 1731 2012
"13" "USC" 12 5 7 0 4.42 2193 2013
"13" "USC" 22 0 15 5 3.5 1947 2002
"130" "Wisconsin" 23 0 1 9 2.48 693 2004
"131" "Virginia" 19 0 3 8 2.74 691 2004
"132" "Vanderbilt" 20 0 0 2 2.1 685 2004
"133" "Hawaii" 20 0 0 3 2.05 680 2004
"134" "Akron" 22 0 0 0 2 670 2004
"134" "Eastern Michigan" 22 0 0 0 2 670 2004
"134" "Louisiana-Monroe" 22 0 0 0 2 670 2004
"137" "Wyoming" 21 0 0 1 2.05 660 2004
"138" "Virginia Tech" 19 0 3 8 2.74 641 2004
"139" "Baylor" 20 0 0 1 2.05 635 2004
"139" "Ohio" 21 0 0 0 2 635 2004
"139" "Wake Forest" 18 0 0 3 2.17 635 2004
"14" "California" 29 0 4 20 2.97 1700 2003
"14" "Clemson" 20 0 9 11 3.45 1680 2012
"14" "Clemson" 23 0 10 10 3.3 2131 2013
"14" "Kansas State" 31 2 4 20 3.1 1929 2002
"14" "Miami (FL)" 22 0 11 8 3.36 1785 2006
"14" "Michigan" 22 1 12 8 3.59 1936 2004
"14" "Notre Dame" 23 0 10 12 3.39 1618 2010
"14" "Oklahoma" 17 2 7 8 3.65 1722 2011
"14" "Oklahoma" 21 1 9 8 3.38 1704 2007
"14" "Texas" 20 0 12 7 3.55 1919 2008
"14" "UCLA" 27 0 11 14 3.33 1752 2009
"14" "Virginia Tech" 25 1 5 14 3.08 1581 2005
"142" "Iowa State" 28 0 1 10 2.43 626 2004
"143" "North Texas" 18 0 0 2 2.11 610 2004
"143" "Southern Methodist" 19 0 0 1 2.05 610 2004
"145" "Bowling Green" 18 0 0 1 2.06 585 2004
"145" "Cincinnati" 18 0 0 1 2.06 585 2004
"147" "Buffalo" 18 0 0 0 2 550 2004
"148" "Stanford" 12 0 2 3 2.58 545 2004
"149" "South Florida" 24 0 2 7 2.46 529 2004
"15" "Colorado" 21 1 7 9 3.24 1510 2008
"15" "Florida" 18 0 8 9 3.39 1467 2005
"15" "Georgia" 19 0 9 9 3.42 1581 2010
"15" "LSU" 26 1 10 9 3.23 1871 2002
"15" "Miami (FL)" 19 1 9 8 3.53 1693 2009
"15" "Michigan State" 31 0 6 17 2.94 1921 2004
"15" "Mississippi" 30 2 7 15 3.17 1743 2006
"15" "Nebraska" 19 0 11 7 3.53 1698 2011
"15" "Ohio State" 15 0 12 3 3.8 1577 2007
"15" "Oklahoma" 24 0 7 14 3.17 2068 2013
"15" "Oklahoma State" 31 0 4 17 2.81 1677 2003
"15" "Texas" 18 1 11 6 3.72 1677 2003
"15" "Texas A&M" 19 1 6 12 3.42 1647 2012
"150" "Arizona" 25 0 1 9 2.44 514 2004
"151" "Northwestern" 15 0 0 2 2.13 510 2004
"152" "Central Michigan" 17 0 0 0 2 500 2004
"152" "Nevada" 17 0 0 0 2 500 2004
"154" "Kentucky" 27 0 1 10 2.44 490 2004
"155" "San Diego State" 23 0 2 5 2.39 488 2004
"156" "New Mexico State" 16 0 0 0 2 475 2004
"157" "Rice" 16 0 0 0 1.94 460 2004
"158" "West Virginia" 22 0 1 7 2.41 450 2004
"159" "Air Force" 17 0 0 2 1.65 445 2004
"16" "Arkansas" 31 1 8 20 3.26 1678 2009
"16" "Clemson" 20 2 6 10 3.4 1741 2006
"16" "Clemson" 23 0 8 12 3.22 1555 2007
"16" "Maryland" 24 1 4 15 3.08 1433 2005
"16" "Miami (FL)" 29 1 6 18 3.14 1575 2010
"16" "Michigan" 22 1 11 9 3.55 1819 2002
"16" "North Carolina" 25 0 9 14 3.28 1661 2011
"16" "Ohio State" 25 1 9 10 3.24 1913 2004
"16" "Oregon" 21 0 10 9 3.38 1641 2012
"16" "South Carolina" 21 0 8 13 3.38 1962 2013
"16" "Texas A&M" 24 0 7 14 3.17 1482 2008
"160" "Pittsburgh" 24 0 1 6 2.25 433 2004
"161" "Colorado" 19 0 1 8 2.53 431 2004
"162" "Illinois" 24 0 1 5 2.29 406 2004
"163" "Kansas" 19 0 0 8 2.42 404 2004
"164" "Rutgers" 21 0 1 5 2.33 392 2004
"165" "Clemson" 24 0 1 7 2.38 364 2004
"166" "Syracuse" 32 0 0 9 2.22 361 2004
"167" "Fresno State" 14 0 0 0 2 350 2004
"167" "Kent State" 14 0 0 0 2 350 2004
"169" "TCU" 21 0 1 6 2.38 349 2004
"17" "California" 22 0 10 12 3.45 1646 2011
"17" "Clemson" 25 0 6 15 3.08 1431 2005
"17" "Michigan" 17 2 11 3 3.82 1667 2003
"17" "Michigan State" 23 0 10 10 3.3 1675 2009
"17" "Minnesota" 30 0 7 18 3.07 1395 2008
"17" "Mississippi State" 30 3 5 8 2.9 1813 2002
"17" "Nebraska" 25 0 5 19 3.16 1921 2013
"17" "North Carolina" 24 2 4 12 3 1510 2007
"17" "Oregon" 29 1 7 13 3.03 1901 2004
"17" "Tennessee" 21 0 10 9 3.38 1595 2012
"17" "Texas A&M" 24 0 9 13 3.29 1572 2010
"17" "UCLA" 22 0 7 13 3.23 1544 2006
"170" "Georgia Tech" 23 0 1 3 2.22 347 2004
"171" "Stanford" 12 0 2 3 2.58 332 2004
"172" "UTEP" 13 0 0 0 2 325 2004
"173" "Navy" 13 0 0 0 1.85 300 2004
"174" "Minnesota" 24 0 0 6 2.25 298 2004
"175" "Indiana" 25 0 0 6 2.24 266 2004
"176" "Tulane" 24 0 0 4 2.17 255 2004
"177" "Utah" 25 0 1 4 2.24 239 2004
"178" "Memphis" 24 0 1 3 2.21 230 2004
"178" "Mississippi State" 22 0 1 3 2.23 230 2004
"18" "Alabama" 32 0 6 21 3.03 1424 2005
"18" "Arizona" 25 1 6 17 3.28 1530 2006
"18" "Arizona State" 31 1 5 15 2.9 1745 2002
"18" "Georgia Tech" 20 0 8 10 3.3 1453 2007
"18" "LSU" 22 0 9 12 3.36 1567 2012
"18" "Mississippi" 25 0 8 16 3.28 1554 2010
"18" "Mississippi" 37 1 8 22 3.11 1628 2009
"18" "South Carolina" 32 1 6 25 3.25 1638 2011
"18" "Tennessee" 22 1 7 11 3.27 1634 2003
"18" "Texas" 20 1 9 9 3.5 1864 2004
"18" "Virginia Tech" 31 0 6 22 3.1 1375 2008
"18" "Washington" 22 0 7 15 3.32 1906 2013
"180" "Louisville" 23 0 1 1 2.13 222 2004
"181" "Houston" 26 0 0 2 2.08 186 2004
"182" "Vanderbilt" 19 0 0 2 2.11 179 2004
"183" "Southern Miss" 23 0 0 5 2.22 166 2004
"183" "Tulsa" 26 0 0 5 2.19 166 2004
"185" "Utah State" 24 0 1 2 2.17 155 2004
"186" "Army" 9 0 0 0 1.33 150 2004
"187" "Duke" 24 0 0 2 2.08 131 2004
"187" "Marshall" 23 0 0 2 2.09 131 2004
"189" "North Texas" 18 0 0 2 2.11 120 2004
"19" "Auburn" 28 0 9 16 3.21 1599 2009
"19" "California" 20 0 9 8 3.3 1512 2006
"19" "Clemson" 23 0 9 13 3.35 1551 2010
"19" "Colorado" 25 0 5 18 3.12 1631 2003
"19" "Miami (FL)" 19 1 7 8 3.21 1452 2007
"19" "Mississippi" 27 1 5 21 3.26 1573 2011
"19" "Ohio State" 24 1 9 9 3.25 1807 2004
"19" "Oregon" 20 0 8 9 3.25 1356 2008
"19" "South Carolina" 25 0 8 15 3.24 1534 2012
"19" "Vanderbilt" 26 0 5 20 3.15 1870 2013
"19" "Virginia" 22 1 5 12 3.14 1417 2005
"19" "Washington" 21 1 9 10 3.48 1673 2002
"190" "Northern Illinois" 22 0 0 1 2.05 119 2004
"190" "Troy" 25 0 0 1 2.04 119 2004
"190" "Western Michigan" 21 0 0 1 2.05 119 2004
"193" "Southern Methodist" 19 0 0 1 2.05 113 2004
"194" "Bowling Green" 18 0 0 1 2.06 108 2004
"195" "Northwestern" 15 0 0 2 2.13 104 2004
"196" "Brigham Young" 27 0 0 8 2.3 100 2004
"197" "Cincinnati" 16 0 0 1 2.06 97 2004
"198" "East Carolina" 28 0 0 5 2.18 85 2004
"199" "Middle Tennessee" 30 0 1 3 2.17 84 2004
"2" "Florida" 26 5 9 10 3.65 2358 2003
"2" "Florida" 27 4 17 5 3.89 2901 2006
"2" "Florida" 28 4 18 5 3.89 2938 2010
"2" "Florida State" 22 3 13 5 3.82 2582 2005
"2" "Florida State" 29 2 13 13 3.55 2365 2011
"2" "LSU" 24 4 11 9 3.79 2581 2009
"2" "LSU" 28 3 12 10 3.54 2492 2004
"2" "Notre Dame" 23 3 16 4 3.96 2744 2008
"2" "Ohio State" 24 2 16 6 3.83 2903 2013
"2" "Tennessee" 25 5 16 2 3.96 2534 2002
"2" "Texas" 28 2 15 10 3.64 2481 2012
"2" "USC" 18 6 10 2 4.22 2761 2007
"20" "Auburn" 29 2 4 16 3.03 1335 2008
"20" "Florida" 23 1 8 9 3.22 1672 2002
"20" "Illinois" 23 2 5 11 3 1448 2007
"20" "Michigan" 27 0 6 20 3.19 1479 2010
"20" "Nebraska" 22 1 5 15 3.27 1432 2006
"20" "Notre Dame" 17 1 8 7 3.53 1521 2012
"20" "Stanford" 22 0 8 12 3.27 1583 2009
"20" "Tennessee" 21 0 5 15 3.19 1820 2013
"20" "Tennessee" 24 2 8 8 3.25 1781 2004
"20" "Texas" 15 0 9 6 3.6 1409 2005
"20" "Texas A&M" 28 0 8 10 2.93 1781 2004
"20" "Texas Tech" 27 0 6 19 3.15 1457 2011
"20" "Virginia" 22 1 7 11 3.27 1627 2003
"200" "Colorado State" 27 0 0 4 2.15 80 2004
"201" "Florida Atlantic" 2 0 0 1 2.5 75 2004
"201" "UAB" 21 0 0 3 2.14 75 2004
"203" "Boise State" 27 0 0 2 2.07 70 2004
"203" "UNLV" 23 0 0 2 2.09 70 2004
"205" "Arkansas State" 28 0 0 1 2.04 65 2004
"205" "Baylor" 20 0 0 1 2.05 65 2004
"205" "Connecticut" 28 0 0 1 2.04 65 2004
"205" "Louisiana Tech" 29 0 0 1 2.03 65 2004
"205" "New Mexico" 26 0 0 1 2.04 65 2004
"205" "Temple" 30 0 0 1 2.03 65 2004
"205" "UCF" 22 0 0 1 2.05 65 2004
"205" "Wyoming" 21 0 0 1 2.05 65 2004
"21" "Arizona" 24 0 7 14 3.17 1395 2005
"21" "Arizona State" 27 0 6 19 3.15 1328 2008
"21" "Florida State" 19 1 8 10 3.53 1617 2003
"21" "Florida State" 20 0 7 10 3.2 1394 2007
"21" "Michigan" 20 0 6 13 3.25 1314 2011
"21" "Missouri" 23 0 7 16 3.3 1446 2010
"21" "Notre Dame" 18 1 9 5 3.44 1564 2009
"21" "Oregon" 19 1 7 7 3.26 1778 2013
"21" "Penn State" 22 0 11 8 3.36 1665 2002
"21" "Pittsburgh" 26 0 7 14 3.08 1412 2006
"21" "Washington" 25 1 5 14 3.08 1452 2012
