coach,year,team,win,loss,tie,winPct,PF,PA,delta
Al Groh,1983,Wake Forest,4,7,0,0.36364,257,281,-24
Al Groh,1984,Wake Forest,6,5,0,0.54545,205,232,-27
Al Groh,1985,Wake Forest,4,7,0,0.36364,212,249,-37
Al Groh,1986,Wake Forest,5,6,0,0.45455,325,295,30
Al Groh,2001,Virginia,5,7,0,0.41667,249,331,-82
Al Groh,2002,Virginia,9,5,0,0.64286,402,348,54
Al Groh,2003,Virginia,8,5,0,0.61538,364,265,99
Al Groh,2004,Virginia,8,4,0,0.66667,363,212,151
Al Groh,2005,Virginia,7,5,0,0.58333,320,279,41
Al Groh,2006,Virginia,5,7,0,0.41667,181,214,-33
Al Groh,2007,Virginia,9,4,0,0.69231,317,256,61
Al Groh,2008,Virginia,5,7,0,0.41667,193,260,-67
Al Groh,2009,Virginia,3,9,0,0.25,232,316,-84
Al Kincaid,1981,Wyoming,8,3,0,0.72727,344,203,141
Al Kincaid,1982,Wyoming,5,7,0,0.41667,267,280,-13
Al Kincaid,1983,Wyoming,7,5,0,0.58333,341,327,14
Al Kincaid,1984,Wyoming,6,6,0,0.5,334,342,-8
Al Kincaid,1985,Wyoming,3,8,0,0.27273,210,371,-161
Al Kincaid,1990,Arkansas State,3,7,1,0.31818,200,313,-113
Al Kincaid,1991,Arkansas State,1,10,0,0.09091,189,361,-172
Al Luginbill,1989,San Diego State,6,5,1,0.54167,368,378,-10
Al Luginbill,1990,San Diego State,6,5,0,0.54545,459,386,73
Al Luginbill,1991,San Diego State,8,4,1,0.65385,420,365,55
Al Luginbill,1992,San Diego State,5,5,1,0.5,334,338,-4
Al Luginbill,1993,San Diego State,6,6,0,0.5,413,392,21
Al Michaels,1971,North Carolina State,3,8,0,0.27273,147,274,-127
Al Molde,1983,Eastern Illinois,9,3,0,0.75,265,122,143
Al Molde,1984,Eastern Illinois,6,5,0,0.54545,326,258,68
Al Molde,1985,Eastern Illinois,6,5,0,0.54545,261,272,-11
Al Molde,1986,Eastern Illinois,11,2,0,0.84615,459,227,232
Al Molde,1987,Western Michigan,5,6,0,0.45455,218,240,-22
Al Molde,1988,Western Michigan,9,3,0,0.75,354,237,117
Al Molde,1989,Western Michigan,5,6,0,0.45455,210,210,0
Al Molde,1990,Western Michigan,7,4,0,0.63636,249,235,14
Al Molde,1991,Western Michigan,6,5,0,0.54545,218,253,-35
Al Molde,1992,Western Michigan,7,3,1,0.68182,197,177,20
Al Molde,1993,Western Michigan,7,3,1,0.68182,236,187,49
Al Molde,1994,Western Michigan,7,4,0,0.63636,274,189,85
Al Molde,1995,Western Michigan,7,4,0,0.63636,253,190,63
Al Molde,1996,Western Michigan,2,9,0,0.18182,208,304,-96
Al Onofrio,1971,Missouri,1,10,0,0.09091,93,260,-167
Al Onofrio,1972,Missouri,7,5,0,0.58333,219,311,-92
Al Onofrio,1973,Missouri,8,4,0,0.66667,219,152,67
Al Onofrio,1974,Missouri,7,4,0,0.63636,204,217,-13
Al Onofrio,1975,Missouri,6,5,0,0.54545,282,241,41
Al Onofrio,1976,Missouri,6,5,0,0.54545,246,241,5
Al Onofrio,1977,Missouri,4,7,0,0.36364,195,180,15
Alan Gooch,2003,UCF,0,2,0,0,28,77,-49
Albert A. 'Al' Exendine,1914,Georgetown,2,4,2,0.375,52,76,-24
Albert A. 'Al' Exendine,1915,Georgetown,7,2,0,0.77778,317,30,287
Albert A. 'Al' Exendine,1916,Georgetown,9,1,0,0.9,473,32,441
Albert A. 'Al' Exendine,1917,Georgetown,7,1,0,0.875,169,53,116
Albert A. 'Al' Exendine,1918,Georgetown,3,2,0,0.6,188,48,140
Albert A. 'Al' Exendine,1919,Georgetown,7,3,0,0.7,244,79,165
Albert A. 'Al' Exendine,1920,Georgetown,6,4,0,0.6,235,138,97
Albert A. 'Al' Exendine,1921,Georgetown,8,1,0,0.88889,245,51,194
Albert A. 'Al' Exendine,1922,Georgetown,6,3,1,0.65,175,77,98
Albert A. 'Al' Exendine,1923,Washington State,2,4,1,0.35714,56,84,-28
Albert A. 'Al' Exendine,1924,Washington State,1,5,2,0.25,107,88,19
Albert A. 'Al' Exendine,1925,Washington State,3,4,1,0.4375,67,104,-37
Albert A. 'Al' Exendine,1934,Oklahoma State,4,5,1,0.45,54,130,-76
Albert A. 'Al' Exendine,1935,Oklahoma State,3,7,0,0.3,59,152,-93
Albert Barron,1924,Temple,1,4,0,0.2,15,106,-91
Albert Berg,1887,Purdue,0,1,0,0,6,48,-42
Albert Choate,1938,Troy,4,4,1,0.5,85,89,-4
Albert Choate,1939,Troy,7,4,0,0.63636,121,71,50
Albert Choate,1940,Troy,3,6,0,0.33333,60,109,-49
Albert Choate,1941,Troy,5,4,0,0.55556,104,125,-21
Albert Choate,1942,Troy,4,3,0,0.57143,129,126,3
Albert Choate,1946,Troy,4,4,0,0.5,58,117,-59
Albert E. Hernstein,1905,Purdue,6,1,1,0.8125,177,30,147
Albert E. Herrnstein,1906,Ohio State,8,1,0,0.88889,153,14,139
Albert E. Herrnstein,1907,Ohio State,7,2,1,0.75,160,49,111
Albert E. Herrnstein,1908,Ohio State,6,4,0,0.6,118,92,26
Albert E. Herrnstein,1909,Ohio State,7,3,0,0.7,219,76,143
Albert Elmore,1931,Troy,6,4,0,0.6,136,99,37
Albert Elmore,1932,Troy,7,3,0,0.7,152,53,99
Albert Elmore,1933,Troy,5,1,0,0.83333,99,26,73
Albert Elmore,1934,Troy,6,2,1,0.72222,170,52,118
Albert Elmore,1935,Troy,5,5,0,0.5,168,169,-1
Albert Elmore,1936,Troy,3,5,0,0.375,39,125,-86
Albert Elmore,1937,Troy,3,6,2,0.36364,49,167,-118
Albert Hanson,1899,Kansas State,2,3,0,0.4,23,72,-49
Albert M. Barron,1921,Michigan State,3,5,0,0.375,68,126,-58
Albert M. Barron,1922,Michigan State,3,5,2,0.4,111,135,-24
Albert P. Kawal,1947,Drake,1,7,1,0.16667,97,191,-94
Albert P. Kawal,1948,Drake,7,3,0,0.7,199,105,94
Albert P. Kawal,1949,Temple,5,4,0,0.55556,156,225,-69
Albert P. Kawal,1950,Temple,4,4,1,0.5,173,132,41
Albert P. Kawal,1951,Temple,6,4,0,0.6,168,176,-8
Albert P. Kawal,1952,Temple,2,7,1,0.25,128,221,-93
Albert P. Kawal,1953,Temple,4,4,1,0.5,134,157,-23
Albert P. Kawal,1954,Temple,3,5,0,0.375,95,148,-53
Albert P. Kawal,1955,Southern Illinois,4,4,2,0.5,136,120,16
Albert P. Kawal,1956,Southern Illinois,4,5,0,0.44444,167,152,15
Albert P. Kawal,1957,Southern Illinois,5,4,0,0.55556,201,140,61
Albert P. Kawal,1958,Southern Illinois,7,2,0,0.77778,202,114,88
Albert P. Simmons,1894,LSU,2,1,0,0.66667,72,26,46
Albert P. Simmons,1895,LSU,3,0,0,1,36,16,20
Alden Knipe,1898,Iowa,3,4,2,0.44444,67,97,-30
Alden Knipe,1899,Iowa,9,0,1,0.95,257,5,252
Alden Knipe,1900,Iowa,7,0,1,0.9375,311,12,299
Alden Knipe,1901,Iowa,6,3,0,0.66667,79,115,-36
Alden Knipe,1902,Iowa,5,4,0,0.55556,121,238,-117
Alex Agase,1964,Northwestern,3,6,0,0.33333,95,164,-69
Alex Agase,1965,Northwestern,4,6,0,0.4,141,208,-67
Alex Agase,1966,Northwestern,3,6,1,0.35,137,213,-76
Alex Agase,1967,Northwestern,3,7,0,0.3,149,213,-64
Alex Agase,1968,Northwestern,1,9,0,0.1,109,325,-216
Alex Agase,1969,Northwestern,3,7,0,0.3,137,306,-169
Alex Agase,1970,Northwestern,6,4,0,0.6,233,161,72
Alex Agase,1971,Northwestern,7,4,0,0.63636,211,183,28
Alex Agase,1972,Northwestern,2,9,0,0.18182,146,290,-144
Alex Agase,1973,Purdue,5,6,0,0.45455,200,213,-13
Alex Agase,1974,Purdue,4,6,1,0.40909,223,261,-38
Alex Agase,1975,Purdue,4,7,0,0.36364,128,220,-92
Alex Agase,1976,Purdue,5,6,0,0.45455,188,233,-45
Alex Yunevich,1934,Central Michigan,5,3,0,0.625,81,82,-1
Alex Yunevich,1935,Central Michigan,1,6,0,0.14286,32,101,-69
Alex Yunevich,1936,Central Michigan,3,4,1,0.4375,89,135,-46
Alexander Jerrems,1896,Minnesota,8,2,0,0.8,168,24,144
Alexander Jerrems,1897,Minnesota,4,4,0,0.5,112,77,35
Alexander S. Lilley,1889,Ohio State,1,0,0,1,20,14,6
Alexander S. Lilley,1890,Ohio State,0,3,0,0,10,96,-86
Alexander S. Lilley,1891,Ohio State,2,2,0,0.5,18,80,-62
Alfred B. Miles,1913,Middle Tennessee State,5,1,1,0.78571,164,48,116
Alfred B. Miles,1914,Middle Tennessee State,5,0,1,0.91667,132,13,119
Alfred B. Miles,1915,Middle Tennessee State,2,3,1,0.41667,34,92,-58
Alfred B. Miles,1916,Middle Tennessee State,5,2,0,0.71429,116,30,86
Alfred B. Miles,1919,Middle Tennessee State,4,0,0,1,148,6,142
Alfred B. Miles,1920,Middle Tennessee State,4,1,0,0.8,126,54,72
Alfred B. Miles,1921,Middle Tennessee State,3,2,1,0.58333,36,74,-38
Alfred B. Miles,1922,Middle Tennessee State,2,6,0,0.25,20,175,-155
Alfred B. Miles,1923,Middle Tennessee State,3,1,0,0.75,109,32,77
Alfred Holt,1894,New Mexico State,2,0,0,1,11,4,7
Alfred Leo 'Al' Buser,1917,Florida,2,4,0,0.33333,47,247,-200
Alfred Leo 'Al' Buser,1918,Florida,0,1,0,0,2,14,-12
Alfred Leo 'Al' Buser,1919,Florida,5,3,0,0.625,174,46,128
Alfred McCary,1904,Marshall,1,3,3,0.35714,16,26,-10
Alfred McCary,1905,Marshall,6,2,0,0.75,40,98,-58
Alfred McCary,1906,Marshall,4,0,1,0.9,56,5,51
Allen H. 'Mal' Elward,1937,Purdue,4,3,1,0.5625,83,69,14
Allen H. 'Mal' Elward,1938,Purdue,5,1,2,0.75,84,38,46
Allen H. 'Mal' Elward,1939,Purdue,3,3,2,0.5,56,53,3
Allen H. 'Mal' Elward,1940,Purdue,2,6,0,0.25,96,106,-10
Allen H. 'Mal' Elward,1941,Purdue,2,5,1,0.3125,27,62,-35
Allen McCants,1897,Alabama,1,0,0,1,6,0,6
Allen Snyder,1922,Bowling Green,4,2,1,0.64286,98,46,52
Allen W. Jeardeau,1896,LSU,6,0,0,1,136,4,132
Allen W. Jeardeau,1897,LSU,1,1,0,0.5,28,34,-6
Allison T.S. 'Pooley' Hubert,1931,Southern Miss,2,5,0,0.28571,67,124,-57
Allison T.S. 'Pooley' Hubert,1932,Southern Miss,5,4,0,0.55556,80,158,-78
Allison T.S. 'Pooley' Hubert,1933,Southern Miss,3,5,2,0.4,67,180,-113
Allison T.S. 'Pooley' Hubert,1934,Southern Miss,3,4,2,0.44444,63,109,-46
Allison T.S. 'Pooley' Hubert,1935,Southern Miss,6,4,0,0.6,101,112,-11
Allison T.S. 'Pooley' Hubert,1936,Southern Miss,7,2,1,0.75,137,54,83
Allison T.S. 'Pooley' Hubert,1937,VMI,5,5,0,0.5,134,94,40
Allison T.S. 'Pooley' Hubert,1938,VMI,6,1,4,0.72727,159,86,73
Allison T.S. 'Pooley' Hubert,1939,VMI,6,3,1,0.65,125,100,25
Allison T.S. 'Pooley' Hubert,1940,VMI,7,2,1,0.75,127,52,75
Allison T.S. 'Pooley' Hubert,1941,VMI,4,6,0,0.4,134,173,-39
Allison T.S. 'Pooley' Hubert,1942,VMI,3,5,1,0.38889,111,130,-19
Allison T.S. 'Pooley' Hubert,1943,VMI,2,6,0,0.25,46,183,-137
Allison T.S. 'Pooley' Hubert,1944,VMI,1,8,0,0.11111,65,237,-172
Allison T.S. 'Pooley' Hubert,1945,VMI,5,4,0,0.55556,155,138,17
Allison T.S. 'Pooley' Hubert,1946,VMI,4,5,1,0.45,133,189,-56
Allyn McKeen,1937,Memphis,3,6,0,0.33333,124,93,31
Allyn McKeen,1938,Memphis,10,0,0,1,281,41,240
Allyn McKeen,1939,Mississippi State,8,2,0,0.8,216,32,184
Allyn McKeen,1940,Mississippi State,10,0,1,0.95455,245,58,187
Allyn McKeen,1941,Mississippi State,8,1,1,0.85,191,55,136
Allyn McKeen,1942,Mississippi State,8,2,0,0.8,200,77,123
Allyn McKeen,1944,Mississippi State,6,2,0,0.75,219,79,140
Allyn McKeen,1945,Mississippi State,6,3,0,0.66667,221,108,113
Allyn McKeen,1946,Mississippi State,8,2,0,0.8,271,71,200
Allyn McKeen,1947,Mississippi State,7,3,0,0.7,169,89,80
Allyn McKeen,1948,Mississippi State,4,4,1,0.5,103,87,16
Alonaz L. 'Lon' Stiner,1933,Oregon State,6,2,2,0.7,88,48,40
Alonaz L. 'Lon' Stiner,1934,Oregon State,3,6,2,0.36364,104,131,-27
Alonaz L. 'Lon' Stiner,1935,Oregon State,6,4,1,0.59091,175,100,75
Alonaz L. 'Lon' Stiner,1936,Oregon State,4,6,0,0.4,116,151,-35
Alonaz L. 'Lon' Stiner,1937,Oregon State,3,3,3,0.5,71,60,11
Alonaz L. 'Lon' Stiner,1938,Oregon State,5,3,1,0.61111,72,51,21
Alonaz L. 'Lon' Stiner,1939,Oregon State,9,1,1,0.86364,186,77,109
Alonaz L. 'Lon' Stiner,1940,Oregon State,5,3,1,0.61111,128,80,48
Alonaz L. 'Lon' Stiner,1941,Oregon State,8,2,0,0.8,143,49,94
Alonaz L. 'Lon' Stiner,1942,Oregon State,4,5,1,0.45,157,142,15
Alonaz L. 'Lon' Stiner,1945,Oregon State,4,4,1,0.5,100,131,-31
Alonaz L. 'Lon' Stiner,1946,Oregon State,7,1,1,0.83333,157,81,76
Alonaz L. 'Lon' Stiner,1947,Oregon State,5,5,0,0.5,171,136,35
Alonaz L. 'Lon' Stiner,1948,Oregon State,5,4,3,0.54167,249,236,13
Alonzo Edwin Branch,1899,Nebraska,2,7,1,0.25,49,164,-115
Alonzo Edwin Branch,1900,Miami (OH),0,4,0,0,12,77,-65
Alpha Brumage,1911,VMI,7,1,0,0.875,204,27,177
Alpha Brumage,1912,VMI,6,1,0,0.85714,122,36,86
Alpha Brumage,1913,Kentucky,6,2,0,0.75,157,58,99
Alpha Brumage,1914,Kentucky,5,3,0,0.625,328,93,235
Alpha P. Jamison,1898,Purdue,3,3,0,0.5,37,33,4
Alpha P. Jamison,1899,Purdue,4,4,1,0.5,100,122,-22
Alpha P. Jamison,1900,Purdue,4,4,0,0.5,172,79,93
Alton 'Al' Lavan,2003,Eastern Michigan,2,1,0,0.66667,81,65,16
Alton 'Al' Lavan,2004,Delaware State,4,7,0,0.36364,204,352,-148
Alton 'Al' Lavan,2005,Delaware State,7,4,0,0.63636,225,213,12
Alton 'Al' Lavan,2006,Delaware State,8,3,0,0.72727,335,192,143
Alton 'Al' Lavan,2007,Delaware State,10,2,0,0.83333,254,221,33
Alton 'Al' Lavan,2008,Delaware State,5,6,0,0.45455,220,228,-8
Alton 'Al' Lavan,2009,Delaware State,4,7,0,0.36364,178,262,-84
Alton 'Al' Lavan,2010,Delaware State,3,8,0,0.27273,272,334,-62
Alton Johnson,1908,Northwestern,2,2,0,0.5,72,90,-18
Alton S. 'Al' Kircher,1952,Washington State,4,6,0,0.4,171,215,-44
Alton S. 'Al' Kircher,1953,Washington State,4,6,0,0.4,146,256,-110
Alton S. 'Al' Kircher,1954,Washington State,4,6,0,0.4,149,225,-76
Alton S. 'Al' Kircher,1955,Washington State,1,7,2,0.2,67,257,-190
Alvin G. Twitchell,1922,BYU,1,5,1,0.21429,23,197,-174
Alvin G. Twitchell,1923,BYU,2,5,0,0.28571,47,156,-109
Alvin G. Twitchell,1924,BYU,2,3,1,0.41667,44,61,-17
Alvin H. Culver,1895,Northwestern,6,5,0,0.54545,192,132,60
Alvin H. Culver,1896,Northwestern,6,1,2,0.77778,156,46,110
Alvin Kletsch,1889,Wisconsin,0,2,0,0,0,31,-31
Alvin N. 'Bo' McMillin,1922,Centenary (LA),8,1,0,0.88889,295,41,254
Alvin N. 'Bo' McMillin,1923,Centenary (LA),10,2,0,0.83333,371,40,331
Alvin N. 'Bo' McMillin,1924,Centenary (LA),8,1,0,0.88889,177,59,118
Alvin N. 'Bo' McMillin,1928,Kansas State,3,5,0,0.375,94,94,0
Alvin N. 'Bo' McMillin,1929,Kansas State,3,5,0,0.375,55,102,-47
Alvin N. 'Bo' McMillin,1930,Kansas State,5,3,0,0.625,91,66,25
Alvin N. 'Bo' McMillin,1931,Kansas State,8,2,0,0.8,162,39,123
Alvin N. 'Bo' McMillin,1932,Kansas State,4,4,0,0.5,160,80,80
Alvin N. 'Bo' McMillin,1933,Kansas State,6,2,1,0.72222,105,29,76
Alvin N. 'Bo' McMillin,1934,Indiana,3,3,2,0.5,67,110,-43
Alvin N. 'Bo' McMillin,1935,Indiana,4,3,1,0.5625,70,55,15
Alvin N. 'Bo' McMillin,1936,Indiana,5,2,1,0.6875,123,63,60
Alvin N. 'Bo' McMillin,1937,Indiana,5,3,0,0.625,72,32,40
Alvin N. 'Bo' McMillin,1938,Indiana,1,6,1,0.1875,21,67,-46
Alvin N. 'Bo' McMillin,1939,Indiana,2,4,2,0.375,70,96,-26
Alvin N. 'Bo' McMillin,1940,Indiana,3,5,0,0.375,69,100,-31
Alvin N. 'Bo' McMillin,1941,Indiana,2,6,0,0.25,101,126,-25
Alvin N. 'Bo' McMillin,1942,Indiana,7,3,0,0.7,256,79,177
Alvin N. 'Bo' McMillin,1943,Indiana,4,4,2,0.5,193,106,87
Alvin N. 'Bo' McMillin,1944,Indiana,7,3,0,0.7,292,79,213
Alvin N. 'Bo' McMillin,1945,Indiana,9,0,1,0.95,279,56,223
Alvin N. 'Bo' McMillin,1946,Indiana,6,3,0,0.66667,129,95,34
Alvin N. 'Bo' McMillin,1947,Indiana,5,3,1,0.61111,156,102,54
Alvin Pierson,1945,Fresno State,4,6,2,0.41667,113,92,21
Alvin Pierson,1949,Fresno State,3,8,0,0.27273,156,344,-188
Amerino 'Moody' Sarno,1943,Boston College,4,0,1,0.9,156,18,138
Amerino 'Moody' Sarno,1944,Boston College,4,3,0,0.57143,132,134,-2
Amerino 'Moody' Sarno,1945,Boston College,3,4,0,0.42857,79,171,-92
Amos P. Foster,1904,Cincinnati,7,1,0,0.875,182,10,172
Amos P. Foster,1905,Cincinnati,5,3,0,0.625,92,91,1
Amos P. Foster,1906,Nebraska,6,4,0,0.6,164,73,91
Amos P. Foster,1907,Miami (OH),6,1,0,0.85714,115,37,78
Amos P. Foster,1908,Miami (OH),7,0,0,1,113,10,103
Ancil C. Brown,1903,Syracuse,5,4,0,0.55556,200,69,131
Andrew 'Andy' Kerr,1922,Stanford,4,5,0,0.44444,63,96,-33
Andrew 'Andy' Kerr,1923,Stanford,7,2,0,0.77778,284,46,238
Andrew 'Andy' Kerr,1929,Colgate,8,1,0,0.88889,315,19,296
Andrew 'Andy' Kerr,1930,Colgate,9,1,0,0.9,383,27,356
Andrew 'Andy' Kerr,1931,Colgate,8,1,0,0.88889,227,34,193
Andrew 'Andy' Kerr,1932,Colgate,9,0,0,1,264,0,264
